"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 23:04:24 GMT 2021","Sun Aug 15 23:04:35 GMT 2021","11417","tests","registration_test","","","","test_registration",""
"passed","Sun Aug 15 23:04:44 GMT 2021","Sun Aug 15 23:04:52 GMT 2021","8259","tests","test_001","","","","test_002_sign_in",""
"passed","Sun Aug 15 23:05:00 GMT 2021","Sun Aug 15 23:05:03 GMT 2021","3255","tests","test_003","","","","test_001_login",""
"passed","Sun Aug 15 23:04:52 GMT 2021","Sun Aug 15 23:05:00 GMT 2021","8263","tests","test_002","","","","test_001_sign_in",""
"passed","Sun Aug 15 23:05:03 GMT 2021","Sun Aug 15 23:08:59 GMT 2021","235654","tests","test_003","","","","test_002_new_blog_post",""
"passed","Sun Aug 15 23:04:02 GMT 2021","Sun Aug 15 23:04:07 GMT 2021","5264","tests","mod_existing_data_test","","","","test_001_sign_in",""
"passed","Sun Aug 15 23:04:35 GMT 2021","Sun Aug 15 23:04:43 GMT 2021","8259","tests","sign_in_test","","","","test_sign_in",""
"passed","Sun Aug 15 23:04:43 GMT 2021","Sun Aug 15 23:04:44 GMT 2021","375","tests","test_001","","","","test_001_cookie",""
"passed","Sun Aug 15 23:04:07 GMT 2021","Sun Aug 15 23:04:24 GMT 2021","16678","tests","mod_existing_data_test","","","","test_003_mod_data",""
"passed","Sun Aug 15 23:05:00 GMT 2021","Sun Aug 15 23:05:00 GMT 2021","23","tests","test_002","","","","test_002_user_check",""
"passed","Sun Aug 15 23:05:00 GMT 2021","Sun Aug 15 23:05:00 GMT 2021","45","tests","test_002","","","","test_003_log_out",""
"passed","Sun Aug 15 23:04:07 GMT 2021","Sun Aug 15 23:04:07 GMT 2021","24","tests","mod_existing_data_test","","","","test_002_user_check",""
